종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"453650","KODEX 미국S&P500금융","17165","105","0.62","17334.89","17520","17520","17165","17320","298318632","49778500000","0","2900000","S&P Financial Select Sector Index(Price Return)","596.95","0.00","0.00"
"0005A0","KODEX 미국S&P500데일리커버드콜OTM","9325","-40","-0.43","9379.04","9370","9375","9320","414978","3878543838","97912500000","0","10500000","S&P 500 Covered Call 1% OTM Daily Index(TR)","302.75","0.00","0.00"
"276970","KODEX 미국S&P500배당귀족커버드콜(합성 H)","8310","-10","-0.12","8373.31","8320","8325","8270","9273","77025119","39057000000","0","4700000","S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index","114.79","0.00","0.00"
"200030","KODEX 미국S&P500산업재(합성)","32685","115","0.35","32895.74","33010","33185","32560","11313","370114795","30691215000","0","939000","S&P Select Sector Industrial Index","1319.63","0.00","0.00"
"219480","KODEX 미국S&P500선물(H)","25145","250","1.00","25107.27","25135","25160","25105","17619","442732280","142069250000","0","5650000","S&P 500 Futures Total Return Index","842.60","-4.83","-0.57"
"218420","KODEX 미국S&P500에너지(합성)","15070","320","2.17","15075.88","15150","15160","14995","18906","285653536","27367120000","0","1816000","S&P Select Sector Energy Index","938.24","0.00","0.00"
"463640","KODEX 미국S&P500유틸리티","13260","50","0.38","13343.47","13480","13480","13210","15551","206723532","12597000000","0","950000","S&P Utilities Select Sector Index(Price Return)","794.07","0.00","0.00"
"463690","KODEX 미국S&P500커뮤니케이션","15860","120","0.76","15910.41","15980","15980","15810","147","2336150","11102000000","0","700000","S&P Communication Services Select Sector Index(Price Return)","504.18","0.00","0.00"
"463680","KODEX 미국S&P500테크놀로지","13460","140","1.05","13567.38","13635","13640","13460","7933","107598795","20863000000","0","1550000","S&P Technology Select Sector Index(Price Return)","2152.94","0.00","0.00"
"453630","KODEX 미국S&P500필수소비재","12190","-165","-1.34","12307.50","12345","12345","12180","6166","75388701","11580500000","0","950000","S&P Consumer Staples Select Sector Index(Price Return)","801.68","0.00","0.00"
"453640","KODEX 미국S&P500헬스케어","12695","-80","-0.63","12757.68","12735","12735","12665","25799","327676910","24120500000","0","1900000","S&P Health Care Select Sector Index(Price Return)","1461.75","0.00","0.00"
"185680","KODEX 미국S&P바이오(합성)","27050","-55","-0.20","27309.75","27305","27305","27000","1910","51692912","16446400000","0","608000","S&P Biotechnology Select Industry Index","6789.66","0.00","0.00"
"379810","KODEX 미국나스닥100","18925","85","0.45","19078.83","18990","19005","18910","2156842","40890167801","2063771250000","0","109050000","NASDAQ 100","19704.64","0.00","0.00"
"449190","KODEX 미국나스닥100(H)","15285","135","0.89","15392.51","15275","15325","15270","277089","4238573531","324806250000","0","21250000","NASDAQ 100","19704.64","0.00","0.00"
"494300","KODEX 미국나스닥100데일리커버드콜OTM","9690","-50","-0.51","9745.00","9740","9755","9680","736033","7146333524","217056000000","0","22400000","NASDAQ-100 Daily Covered Call 101 Index(TR)","251.97","0.00","0.00"
"409820","KODEX 미국나스닥100레버리지(합성 H)","10275","160","1.58","10422.68","10310","10335","10250","379208","3905183876","173647500000","0","16900000","NASDAQ 100","19704.64","0.00","0.00"
"304940","KODEX 미국나스닥100선물(H)","22575","200","0.89","22750.28","22565","22635","22565","67484","1524828290","108360000000","0","4800000","NASDAQ 100","19704.64","0.00","0.00"
